image,split,source_video,source_sha256,source_frame,timestamp_seconds,dhash,distance_from_previous_kept,annotation_status
images/train/cctv052x2004080519x01684_17570b9978_f0000000_t0000000000.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01684.avi,17570b9978f5e932e6f0d79234e33a99594c5df6d0c273ab3860c942cf38d675,0,0.0,d882cce07cfaf2f8,64,auto_labeled_pending_review
images/train/cctv052x2004080519x01684_17570b9978_f0000005_t0000000500.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01684.avi,17570b9978f5e932e6f0d79234e33a99594c5df6d0c273ab3860c942cf38d675,5,0.5,f21e98397cf6f0f3,21,auto_labeled_pending_review
images/train/cctv052x2004080519x01684_17570b9978_f0000015_t0000001500.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01684.avi,17570b9978f5e932e6f0d79234e33a99594c5df6d0c273ab3860c942cf38d675,15,1.5,f21e983174f4f0f8,6,auto_labeled_pending_review
images/train/cctv052x2004080519x01684_17570b9978_f0000025_t0000002500.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01684.avi,17570b9978f5e932e6f0d79234e33a99594c5df6d0c273ab3860c942cf38d675,25,2.5,f21e983d7cf9f1f9,8,auto_labeled_pending_review
images/train/cctv052x2004080519x01684_17570b9978_f0000030_t0000003000.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01684.avi,17570b9978f5e932e6f0d79234e33a99594c5df6d0c273ab3860c942cf38d675,30,3.0,f21e9c3978faf0f8,7,auto_labeled_pending_review
images/train/cctv052x2004080609x01874_9cdb9da904_f0000000_t0000000000.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01874.avi,9cdb9da904eccfa3a9fe9760803d5b3c9d79a963c4625ed734878415508dbfba,0,0.0,e5469c3174f5f1fa,64,auto_labeled_pending_review
images/train/cctv052x2004080609x01874_9cdb9da904_f0000005_t0000000500.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01874.avi,9cdb9da904eccfa3a9fe9760803d5b3c9d79a963c4625ed734878415508dbfba,5,0.5,f6169c3574f1f0fa,8,auto_labeled_pending_review
images/train/cctv052x2004080609x01874_9cdb9da904_f0000015_t0000001500.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01874.avi,9cdb9da904eccfa3a9fe9760803d5b3c9d79a963c4625ed734878415508dbfba,15,1.5,f6569c3178f0f0f9,7,auto_labeled_pending_review
images/train/cctv052x2004080609x01874_9cdb9da904_f0000030_t0000003000.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01874.avi,9cdb9da904eccfa3a9fe9760803d5b3c9d79a963c4625ed734878415508dbfba,30,3.0,f6169c3174f4f2f3,7,auto_labeled_pending_review
images/train/cctv052x2004080609x01874_9cdb9da904_f0000045_t0000004500.jpg,train,D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01874.avi,9cdb9da904eccfa3a9fe9760803d5b3c9d79a963c4625ed734878415508dbfba,45,4.5,f6569c357cf8f0fa,8,auto_labeled_pending_review
