source_video,split,sha256,status
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01684.avi,train,17570b9978f5e932e6f0d79234e33a99594c5df6d0c273ab3860c942cf38d675,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01874.avi,train,9cdb9da904eccfa3a9fe9760803d5b3c9d79a963c4625ed734878415508dbfba,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01647.avi,train,db0ddb354e53efd143fce275253dadd9aec12c837cf56442fb3b25ebba16a62f,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01845.avi,train,758490af6d91bfe4847933af56d55ca7b895179d1d89603da2e2d86b972005d0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01865.avi,train,23b6ba6372004d1a63447a01b676665df896a46ace170ca453eca20ec50cfc66,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00059.avi,train,5fad06df04989bd775e1ffe077b8cbc854313f7ce2e077b48dde0cd5931e7eb4,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00073.avi,train,e678027bc82c2e25f1b2329c97aa6c6cfd04c4a71e87ecd0ad3986029963968e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01895.avi,train,8e528641a08ec9eb7ee64e0c88623febb5fefec5a8d3a366dab8b0877e40f0a8,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00050.avi,train,ef2af7a54deeb8ea31055ca466290aceb732c6baeeeb3da121898c447c627bf1,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01683.avi,train,6bd83d6deeb86b2bb4209597b387098eaa21b13aa7282f838005b3337194a735,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01887.avi,train,83255ea5dad71b4e39346913f8ed4feaddd6276ece1968cbd5941c665d4fed76,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00057.avi,train,e5f6285f461ae9ee462eb0569ef5455b6488356686e6eb8a5302ce3e153e507e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01668.avi,train,8f5c11d46c3e697199849ec7eafb3952ad57fec91db80e1491b5a7ce65cddf49,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01838.avi,train,e85e636b89edc69b675243a1d73d4763e70b06c52d80a0abe0071181b71e9299,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01876.avi,train,d4f34caa921852ef2246deee8cb7e85a098f9b82677d3928c9c2a5e517bf27d7,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01903.avi,train,355058761bfe1ab6f48b9f099653887f97fed3b7dc9169a4633e1400707b5ba5,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01660.avi,train,c9787f4d4cebdc7f4b4d57193c1aa3124bbe1f55e41f1def735fe65fe8815562,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01884.avi,train,ea5804dea1b2467f041a34eab12bf464ff9087b6164676f61db1458f8ba7632a,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00052.avi,train,b36b8751f07d03f48cb542754a7ad3bea724f0c6ca6beaf427b8f9c1dc92d354,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00070.avi,train,c8fd949c907da42c509ea1872c39e7ff3ffb0c5d04f7d7e3de30903d52ea5f3e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x01911.avi,train,0d9b50b657ef9bf4d344e9e6881791f10c490343943856d72bb452cca96ab054,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00030.avi,train,67743246c55c1fcaa5f3203ab0ab09593d9d7d2598d033101f084a3c75fbfa3e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01826.avi,train,b15b85681c9e3c2c24392bff0ebd9e6fc4ce2038923787d78629e8a3efdeb486,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01883.avi,train,ee2d86a003aac137e4c26df0ee019eafc7bccdbc3a41038c709d879372799828,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x00005.avi,train,c84dfbce9997262e462c9ace15e0df7640ad18879050e68397b6eb12955b2535,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00090.avi,train,b3608b18faed2f6640e4eac616f8cbee5df504525a4ea29549e883c9610eaeb8,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01844.avi,train,051719b8c56be16567822bb2bc7d84c6d82488b0f3d63657c6b81d6647b42c99,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00051.avi,train,34df8b6258102b3992ea7858b4d24c5a798a7add60368196827c52599c76910e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00065.avi,train,11290c3d3dd95d1c08ebf08449b338127b3e422e6cc22f86ed0f56a0cb9ec05f,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01880.avi,train,63140059053bd0d669a0ff0604fed57875d5e82d30f9e05b357b47f0c933c150,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080620x00108.avi,train,d70a4c0afd040719dbcef4b3408fe6461ddd96c721e1332482a325a09f9bd0a1,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01820.avi,train,d67fd6001ca6c5492204d09258189a52e3199b47810a15d843758407d37ae77d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01833.avi,train,d12ff36e305d072382811827ebb56cd9906ffc1420ac6e6c0d3636717c8b092d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00102.avi,train,865c7928ab4b60ac1d66829d2a2b69b2f0f4a4990ce13edc2afc96e9fb352e44,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01650.avi,train,d9f155bbc127cac1d23fa1899a66ebcb669351e1663868144af3f58a852d4b49,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080613x00016.avi,train,8d421498e48885bc719043379c1df4fe3bf72d08fb2b1fab2dd49be04737eb38,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01860.avi,train,ddd09b0647a0a9772af2d3f2b4474a40d2d101132a2c1e18c9e69c2f7e3edba0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01666.avi,train,ffbd0d58105c156679d1095cc9e5382ef87e94fc2909d9b7281ff73d4e28b40a,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00075.avi,train,c0cc31b152b0abca317b352fd9e45d3702d7f85d57a44b08c8e16332bed51dd3,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01870.avi,train,169e63e3efea0d9967dcf307133d7346b848cb7d6767033bff262b94a05eeae9,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01901.avi,train,4c4e1affae4b8ac5390edc20e57304c86d8e0b413353d02ee0dc9293cfeea919,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01648.avi,train,2d25a9735a4822bc52f3c4aa442b7026a77d12b420b49ef03767afbc47da6427,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080618x00086.avi,train,50bb9953c7f759138bc603b264bda59bd5ee1ecf2ce9f4de8ab8e81cc8da290a,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01669.avi,train,a32cb937281094ce9b7de7ad02c34a1d7a4310798a9d62842aa1505f6631b225,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01681.avi,train,ce02388f6ac35a76236fc3fd7f17f2db5a5e673f7d4a6f90c9a5db63539c7e02,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080618x00079.avi,train,f2e34b75b67ba8be8c676e67b18a920e2be961039423fbb37b7c5610930f4c58,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01863.avi,train,c7bcac92667f5d1fbc16d3bec07d075133a536a7df3c24927721398263370d16,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080608x01849.avi,train,8ef4f0c5b5ad18c52e3d9fc8ed021d1a925b46b88cc8aa2e6503f96a07755a13,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01642.avi,train,788c736f261568f55947ba897ad47f527f33381e1e562cfae07a08e2e82fae9d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00077.avi,train,e44c641ce6dff4598addc3a66c4b386420587699fc04e9ea22eee933dbd76040,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01881.avi,train,9511e380f1006ffd8a042658350675a2b0636968b98e97da0336455906db8e4d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01691.avi,train,de542ea9490cf9ae9f4f07c6184faa085ac02f68c2b2d6c6b5ee45647332a03a,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01643.avi,train,7fa46b136fcae01ed06dc3293e16fc75def7a181e295e58facb048f73516efc0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01894.avi,train,6d4a98a3033b7a67f4373dd5847e15285d7caf4d70152000cb79eb7c91664dc0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080520x01700.avi,train,50db8783e2e560effbddb587563b64f1e5e35e7e104b293ef541bc2b89e6a64c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01641.avi,train,fc82cdba600ca446ec65dbe3532f710d239ec6382e455946d5fac16f214ee3c7,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01654.avi,train,cd9071d2a635f9b40baa1410d19df0680b0bbbd33c01d375a6f9ce73f37dc94b,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01832.avi,train,bf0098fd2986caf3d3e97ba4ca4c7ee3eec7184cff205d89d6fae7968a9c165e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01882.avi,train,86aa5357e279be6533c502472ad1355c346044ec74c6709fd124725842db0b00,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080613x00008.avi,train,e3c7e12b9c52cbdd6292dcc5877ca8ddd8428b2d7fe1cac30d0d5d4f5827aaa5,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x00002.avi,train,014d9e3bbf0bbbf971f3d1d7ac95954a3622f38c9a644495335428cae02380c9,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00066.avi,train,29035d6a8f22d61d94352041eedf0ebec87d6b893e8b8746b0a823d7632b0a69,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01859.avi,train,22f85e29379203d916ddb40d6a03eabd4dc53f9df5a2de4ba93825396934e5af,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00056.avi,train,6862846a4f8fcfa693445ad0812cd85c6ec542623fec4dbc0c25879a1ce4e813,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01640.avi,train,500bc1835a59f170e450e96ed5a224d5b7a10cae88cc108cf8461a87d754c171,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x01908.avi,train,92233867994f7bfbeb9f42eb3770585fc01cf2a513dfb05bc8348e59fb061178,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00096.avi,train,61f22760caaa354cf223399f2d4a2cf9b2fbdd2f53529772a90b9b1199418c69,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01841.avi,train,c7834745ac91ace2ea7ea6e5871f283c49b7382734596a3b33e0dd59046e0275,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080608x01858.avi,train,8555f2ba22aa8d9797492647926c61cef6831411306de409043fe34716316ec1,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x00004.avi,train,d99c83dee810c9090696c2af3c1e21c34c49a8e909e810ff3ff67939619a5b4c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x00000.avi,train,3f16371ecddf19def5d77dbd89fea1ba9cf12bb75926d5e81c60ab522f93eab0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01686.avi,train,ff253c7d160ccb74dd08d2636dc7925f68063b0a0ee6fffa93c5b6d12c079dc6,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01873.avi,train,60bd0d8333280e946f144c8f7899cf76abd41e3b4bfe817024d0cdd077e20816,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00076.avi,train,4898159865302113a612f030aa8e389ca99daf545ecfc764b0f64cd30cc498b9,used
